inter_id,user_id,book_id,borrow_time,还书时间,续借时间,续借次数,source_table
53073,3,25098,2022-04-07 12:21:29,2022-05-0920:45:44,2022-12-1213:05:59,0,table_d
66378,3,30751,2022-04-18 14:38:26,2022-06-2116:01:57,2022-05-1217:36:37,1,table_d
23841,3,14116,2022-04-18 14:39:33,2022-06-2115:29:29,2022-05-1217:36:35,1,table_c
80933,3,45121,2022-04-21 13:21:46,2022-06-2016:16:10,2022-05-1217:36:42,1,table_c
80939,3,45126,2022-04-23 21:32:00,2022-06-2116:01:49,2022-05-2116:11:06,1,table_c
80932,3,45120,2022-05-09 20:46:07,2022-06-2016:15:36,,0,table_c
57148,3,32122,2022-05-28 21:17:57,2022-06-2016:15:47,2023-02-1609:11:54,0,table_c
18898,5,11024,2020-08-29 12:17:52,2020-09-2415:56:18,2020-09-2217:40:19,1,table_c
18896,5,11022,2020-08-29 12:17:59,2020-09-2415:56:37,2020-09-2217:40:09,1,table_c
19994,5,11712,2020-08-29 12:18:09,2020-09-2415:56:29,2020-09-2217:40:23,1,table_c
18897,5,11023,2020-08-29 12:18:14,2020-09-0315:18:00,,0,table_c
20568,5,12110,2020-09-01 13:24:05,2020-10-2518:04:14,2020-09-2217:40:47,1,table_c
17859,5,24672,2020-09-03 14:54:56,2020-12-0918:42:47,2020-11-0507:37:50,2,table_d
17860,5,10391,2020-09-03 14:55:03,2020-12-0918:42:39,2020-11-0507:37:47,2,table_c
18901,5,11027,2020-09-03 15:18:15,2020-12-0918:42:18,2020-11-0507:37:52,2,table_c
38484,5,24152,2020-09-07 13:33:28,2020-09-1014:23:34,2023-10-2018:52:53,0,table_c
35374,5,22253,2020-09-07 13:33:45,2020-10-2221:18:40,2020-10-1012:15:53,1,table_c
38485,5,24153,2020-09-16 18:05:35,2020-10-1215:39:31,,0,table_c
38486,5,24154,2020-09-16 18:05:40,2020-09-2617:46:22,2024-05-0610:21:51,0,table_c
56899,5,32005,2020-09-18 15:48:54,2020-09-2012:15:35,,0,table_c
38968,5,24337,2020-09-21 19:00:17,2020-10-1108:49:09,2023-10-2518:36:31,0,table_c
18902,5,24544,2020-09-21 19:00:23,2020-10-0817:29:12,2023-10-2518:36:29,0,table_d
18903,5,11029,2020-09-21 19:00:26,2020-09-2317:38:55,2023-10-2908:30:22,0,table_c
18900,5,11026,2020-09-22 16:08:54,2020-12-2117:35:11,2020-11-2017:21:54,2,table_c
68293,5,38691,2020-09-22 16:09:03,2020-12-2117:35:04,2020-11-2017:21:57,2,table_c
34949,5,30052,2020-09-26 18:35:27,2020-09-2910:39:45,2024-08-1809:05:49,0,table_d
53075,5,30618,2020-09-26 18:35:38,2020-10-2317:14:15,2024-09-1415:51:57,0,table_c
18899,5,11025,2020-09-26 18:35:46,2020-12-1211:22:22,2020-11-2210:54:38,2,table_c
38487,5,31653,2020-10-11 15:53:14,2020-12-0706:52:56,2020-11-0507:38:08,1,table_d
38488,5,24156,2020-10-11 15:53:18,2020-10-1221:52:47,2024-08-1809:05:57,0,table_c
38087,5,23979,2020-10-11 15:53:24,2021-01-0820:40:42,2020-12-0714:00:54,2,table_c
16002,5,30751,2020-10-11 15:53:29,2021-01-0820:40:35,2020-12-0714:00:51,2,table_d
22056,5,38817,2020-10-11 15:53:35,2021-01-0820:40:17,2020-12-0714:00:49,2,table_d
21795,5,12902,2020-10-11 15:53:40,2021-01-0820:40:28,2020-12-0714:00:46,2,table_c
21796,5,12903,2020-10-11 15:53:45,2020-12-0918:48:31,2020-11-0507:37:19,1,table_c
67138,5,37971,2020-10-18 08:27:19,2020-11-1622:19:27,,0,table_c
38085,5,30468,2020-12-12 11:19:46,2021-01-1808:36:37,2021-01-0818:21:14,1,table_d
38086,5,23978,2020-12-12 11:19:54,2021-01-1808:36:29,2021-01-0818:21:13,1,table_c
15940,5,9289,2020-12-12 11:20:24,2020-12-2313:02:31,2023-10-2518:36:25,0,table_c
15941,5,9290,2020-12-12 11:20:33,2020-12-2121:55:38,,0,table_c
32491,5,20275,2021-03-07 13:22:09,2021-06-0721:16:04,2021-05-0523:42:41,2,table_c
21350,5,12637,2021-03-07 13:22:25,2021-06-0721:15:48,2021-05-0523:42:53,2,table_c
38969,5,24338,2021-03-08 12:48:55,2021-06-0609:30:52,2021-05-0523:42:38,2,table_c
19995,5,11713,2021-03-12 20:55:44,2021-04-0911:57:28,,0,table_c
18904,5,11030,2021-03-12 20:55:45,2021-04-0911:57:19,2024-06-0721:50:48,0,table_c
18354,5,10695,2021-03-17 11:14:27,2021-04-1716:17:46,2021-04-1322:11:07,1,table_c
66379,5,37499,2021-03-17 11:14:32,2021-03-3008:05:33,,0,table_c
18907,5,11033,2021-03-17 11:15:00,2021-05-1409:16:41,2021-04-1322:11:09,1,table_c
18906,5,11032,2021-03-17 11:15:05,2021-06-1512:04:30,2021-05-1400:05:43,2,table_c
16431,5,9606,2021-04-09 11:33:41,2021-07-1011:30:10,2021-06-0312:07:38,2,table_c
21797,5,12904,2021-04-09 11:33:52,2021-07-1011:30:19,2021-06-0312:07:55,2,table_c
21711,5,12847,2021-04-09 11:33:58,2021-07-1011:30:27,2021-06-0312:08:01,2,table_c
38970,5,24339,2021-04-28 21:23:10,2021-07-3121:58:59,2021-06-2219:51:42,2,table_c
83934,5,24004,2021-04-28 21:23:16,2021-07-3121:59:06,2021-06-2219:51:39,2,table_d
18905,5,11031,2021-05-08 09:00:04,2021-06-0609:34:00,,0,table_c
71279,5,40746,2021-05-14 12:28:31,2021-07-1908:06:56,2021-07-1216:26:00,2,table_c
52403,5,30368,2021-06-25 12:30:36,2021-08-2509:02:33,2021-07-2116:03:42,1,table_c
9781,5,5649,2021-06-25 12:30:42,2021-08-2509:02:14,2021-07-2116:03:47,1,table_c
52402,5,30367,2021-06-25 12:30:46,2021-08-2509:02:25,2021-07-2116:04:09,1,table_c
99649,5,56209,2021-06-30 11:56:32,2021-07-3121:59:13,,0,table_c
44838,5,28674,2021-07-13 13:01:24,2021-08-2509:02:40,2024-08-1809:06:21,0,table_d
44839,5,30620,2021-07-13 13:01:29,2021-08-2509:02:48,2024-08-1809:05:36,0,table_d
18908,5,11034,2021-10-30 08:31:09,2021-11-2911:10:24,,0,table_c
16257,5,9502,2021-10-30 08:31:13,2021-11-2911:10:04,,0,table_c
44621,5,24334,2021-10-30 08:31:14,2021-11-2911:10:37,,0,table_d
69671,5,24451,2021-11-05 13:45:16,2021-12-2711:30:02,2021-12-0207:25:21,1,table_d
53076,5,30617,2021-11-05 13:45:22,2021-12-2711:29:14,2022-04-1213:50:35,2,table_c
69672,5,39620,2021-11-05 13:45:26,2021-12-2711:30:10,2021-12-0207:25:31,1,table_c
38971,5,24340,2021-11-23 16:03:04,2021-12-2711:29:38,2021-12-1912:39:00,1,table_c
18909,5,11035,2021-11-23 16:03:17,2021-12-2711:29:07,2021-12-1912:38:56,1,table_c
21447,5,30744,2021-11-23 16:03:24,2021-12-2711:29:22,2021-12-1912:38:58,1,table_d
11762,5,6602,2021-11-23 16:03:39,2021-12-2711:29:55,2021-12-1912:38:53,1,table_c
18497,5,10782,2021-11-29 11:27:44,2021-12-2711:29:47,,0,table_c
18484,5,10773,2021-11-29 11:27:49,2021-12-2711:29:30,2024-11-0209:05:29,0,table_c
26720,5,16169,2021-12-22 08:30:05,2021-12-2711:42:24,2024-09-1415:51:52,0,table_c
57149,5,32123,2022-02-14 16:48:14,2022-02-1516:58:14,2024-08-1809:05:46,0,table_c
17858,5,23981,2022-02-14 16:48:19,2022-06-0522:17:54,2022-04-1213:50:32,2,table_d
18248,5,10623,2022-02-14 16:48:30,2022-02-1516:58:03,,0,table_c
53074,5,30617,2022-02-15 10:08:36,2022-06-0522:17:35,2022-04-1213:50:35,2,table_c
18483,5,10772,2022-02-15 10:08:38,2022-06-0522:18:01,2022-04-1213:50:37,2,table_c
38966,5,24335,2022-06-12 14:41:54,2022-06-2809:21:51,,0,table_c
38084,5,23976,2022-06-12 14:41:57,2022-06-2809:22:07,2024-05-0610:21:41,0,table_c
38967,5,24336,2022-06-12 14:42:06,2022-06-2809:22:29,,0,table_c
37355,5,23486,2022-06-12 14:42:10,2022-06-2809:22:22,2023-10-1909:07:12,0,table_c
35373,5,22252,2022-06-12 14:42:18,2022-06-2809:21:59,2023-10-1009:49:19,0,table_c
66206,26,37378,2020-09-02 10:02:41,2020-11-2715:09:19,2020-10-2820:50:13,2,table_c
14353,26,6849,2021-01-17 09:49:19,2021-03-2118:42:47,,0,table_d
14354,26,8197,2021-01-17 09:49:31,2021-03-2113:41:59,,0,table_c
18540,26,10814,2021-04-05 10:07:51,2021-05-0109:10:37,2021-04-3011:06:10,1,table_c
21813,26,12918,2021-04-05 10:08:02,2021-05-2913:16:19,2021-04-2810:51:55,1,table_c
21814,26,12919,2021-04-05 10:20:48,2021-04-3010:51:53,,0,table_c
14138,26,8083,2021-05-18 12:34:36,2021-08-2518:14:50,2021-07-1014:31:44,2,table_c
21359,26,12639,2021-05-28 12:06:51,2021-06-0421:52:39,,0,table_c
18710,26,9560,2021-06-09 10:56:34,2021-08-2611:59:56,2021-07-0312:33:19,1,table_d
22013,26,13044,2021-06-21 11:54:20,2021-07-1009:00:01,,0,table_c
21815,26,12920,2021-07-21 16:09:38,2021-07-2221:50:38,,0,table_c
20080,26,11780,2021-07-27 20:48:29,2021-08-2612:00:05,2021-08-1915:16:37,1,table_c
15137,26,8731,2021-08-13 13:03:18,2021-08-2611:59:47,,0,table_c
21816,26,12920,2021-08-13 13:03:37,2021-10-1621:29:21,,0,table_c
10331,26,5986,2021-08-13 13:04:12,2021-08-2611:59:28,,0,table_c
10332,26,6000,2021-08-13 13:04:21,2021-08-2611:59:36,2021-10-1710:20:56,0,table_c
15138,26,8732,2021-08-26 12:17:49,2021-10-1621:29:41,,0,table_c
94329,26,52988,2021-08-26 12:17:57,2021-10-1214:40:32,,0,table_c
18711,26,10923,2021-09-08 12:48:19,2021-12-0408:47:37,2021-11-0509:55:28,2,table_c
20081,26,11780,2021-09-08 12:48:30,2021-10-3108:06:08,2021-10-0216:40:15,1,table_c
20612,26,12140,2021-09-08 12:48:38,2021-10-2519:20:09,2021-10-0216:40:07,1,table_c
20611,26,12140,2021-10-01 14:37:42,2021-10-2519:20:20,,0,table_c
20082,26,11028,2021-10-19 12:59:22,2021-10-2510:44:23,,0,table_d
21360,26,12640,2021-10-19 12:59:34,2021-11-0510:07:10,,0,table_c
16494,26,12785,2021-12-30 16:02:24,2022-02-1309:05:51,,0,table_d
16495,26,9648,2021-12-30 16:02:32,2022-02-1309:05:39,,0,table_c
16496,26,9988,2021-12-30 16:02:37,2022-02-1309:06:07,,0,table_d
19007,26,11114,2022-06-15 16:51:39,2022-06-2415:29:00,,0,table_c
19006,26,11113,2022-06-15 16:51:47,2022-06-2415:29:06,,0,table_c
18709,26,7501,2022-06-16 10:58:46,2022-06-2116:45:48,,0,table_d
32501,29,9619,2020-08-29 12:25:50,2020-09-2008:35:33,,0,table_d
101362,29,57429,2020-09-15 13:44:51,2020-10-0916:28:30,,0,table_c
25725,29,30590,2020-09-15 13:45:02,2020-09-1714:01:57,,0,table_d
889,29,535,2020-09-15 13:45:15,2020-09-1708:46:19,,0,table_c
101361,29,57428,2020-09-15 13:48:09,2020-09-1714:05:38,,0,table_c
28781,29,17520,2020-09-18 16:42:34,2020-10-3110:00:41,2020-10-1615:31:44,1,table_c
55569,29,31517,2020-09-20 15:34:11,2020-09-2513:57:23,,0,table_c
32502,29,20286,2020-09-22 12:28:41,2020-10-3110:00:32,2020-10-1412:59:16,1,table_c
39015,29,24373,2020-10-11 14:36:37,2020-11-0914:59:24,2020-11-0808:26:17,1,table_c
34955,29,29756,2020-10-11 14:36:43,2020-11-0914:59:31,,0,table_d
45153,29,27110,2020-10-14 13:08:08,2020-12-0914:05:04,2020-11-1213:57:15,1,table_c
30822,29,19088,2020-10-18 09:35:35,2020-10-1812:16:06,,0,table_c
32504,29,20288,2020-10-25 14:24:43,2020-10-2514:26:29,,0,table_c
34580,29,33871,2020-10-25 14:24:48,2020-10-2514:26:40,,0,table_d
39016,29,24374,2020-10-26 18:20:24,2020-10-2619:29:15,,0,table_c
35381,29,22633,2020-10-30 08:52:11,2020-10-3020:36:29,,0,table_d
34956,29,21963,2020-11-13 08:37:11,2020-11-1619:59:21,,0,table_c
25019,29,14905,2020-11-18 15:31:56,2020-11-1819:24:31,2024-06-0115:44:21,0,table_c
35382,29,22260,2020-11-21 15:26:50,2020-11-2115:27:31,,0,table_c
34365,29,21570,2020-11-27 19:27:06,2020-12-0217:04:04,,0,table_c
34367,29,21572,2020-12-02 14:27:49,2021-01-0508:39:03,2020-12-2816:23:31,1,table_c
52924,29,30549,2020-12-02 19:34:29,2020-12-0219:35:19,,0,table_c
34442,29,46128,2020-12-03 08:33:16,2020-12-0520:10:16,,0,table_d
37687,29,23724,2020-12-06 09:06:11,2020-12-0617:23:11,,0,table_c
39017,29,24375,2020-12-13 18:32:23,2020-12-1318:33:08,,0,table_c
34366,29,71,2020-12-14 14:12:11,2020-12-1920:38:53,,0,table_d
31159,29,19311,2020-12-20 20:29:01,2020-12-2020:29:51,,0,table_c
33996,29,21375,2020-12-21 19:56:09,2020-12-2119:56:52,,0,table_c
34581,29,21716,2020-12-26 16:25:28,2020-12-2616:26:06,,0,table_c
31158,29,19310,2021-01-03 17:28:58,2021-04-1513:49:49,2021-03-1909:55:45,1,table_c
31157,29,22268,2021-01-03 17:29:03,2021-01-0418:31:05,,0,table_d
47102,29,28347,2021-01-04 13:14:02,2021-03-1208:14:58,,0,table_c
47101,29,28346,2021-01-06 21:12:28,2021-03-1413:50:37,,0,table_c
18911,29,11037,2021-01-10 18:05:16,2021-03-0717:13:55,,0,table_c
18912,29,11038,2021-01-10 18:05:25,2021-01-1509:31:27,,0,table_c
35384,29,22262,2021-03-26 18:07:22,2021-04-1520:55:16,2023-05-2014:08:39,0,table_c
34957,29,21964,2021-04-09 20:42:37,2021-04-1615:53:17,,0,table_c
34960,29,21967,2021-04-16 15:54:07,2021-06-2507:10:48,2021-05-1508:01:36,1,table_c
29048,29,36374,2021-05-09 19:17:43,2021-05-0919:18:24,,0,table_d
29047,29,17740,2021-05-09 19:17:54,2021-05-0919:18:33,,0,table_c
33997,29,21376,2021-05-09 20:11:39,2021-10-1111:07:25,2021-06-0210:09:24,1,table_c
39018,29,41341,2021-05-18 16:59:58,2021-05-1817:00:28,,0,table_d
39019,29,24377,2021-05-18 17:00:04,2021-05-1817:00:43,,0,table_c
35385,29,19601,2021-05-28 16:36:24,2021-07-1209:44:27,,0,table_d
35383,29,22261,2021-05-28 16:36:31,2021-07-1209:44:17,,0,table_c
55685,29,31570,2021-10-13 13:17:30,2021-10-1314:41:35,,0,table_c
53106,29,24358,2021-10-13 13:17:43,2021-10-2210:11:29,,0,table_d
39021,29,24378,2021-11-02 14:12:43,2021-12-2009:16:59,2021-11-2619:47:35,1,table_c
28827,29,17558,2021-11-06 11:00:27,2021-12-2313:20:38,2021-12-0615:28:03,1,table_c
35386,29,22264,2021-11-09 16:25:36,2021-12-2009:17:31,2024-01-0315:04:06,0,table_c
9391,29,19603,2021-11-09 16:25:41,2021-11-1315:02:01,,0,table_d
39020,29,24378,2021-11-09 16:25:44,2021-11-0916:26:54,,0,table_c
67834,29,22308,2021-11-13 16:48:25,2021-12-2009:17:40,,0,table_d
67835,29,38335,2021-11-13 16:48:29,2021-12-2009:17:22,,0,table_c
44929,29,26952,2021-11-16 16:20:00,2021-12-2009:17:13,,0,table_c
34958,29,21965,2021-11-26 20:24:49,2021-12-2313:20:56,2023-05-2014:08:19,0,table_c
34959,29,21966,2021-11-26 20:25:01,2021-12-2313:20:45,2023-05-2014:08:37,0,table_c
37114,29,23331,2021-12-01 20:00:58,2021-12-0120:01:38,,0,table_c
35387,29,22265,2021-12-06 16:53:56,2021-12-1116:52:00,,0,table_c
34952,29,21959,2022-02-15 17:01:59,2022-03-2210:01:24,,0,table_c
34953,29,21960,2022-02-17 16:34:42,2022-03-2210:01:13,,0,table_c
47096,29,28341,2022-02-17 16:34:46,2022-02-1716:35:02,,0,table_c
47099,29,28344,2022-02-17 16:34:58,2022-02-1716:35:45,,0,table_c
47097,29,28342,2022-02-17 16:35:02,2022-02-1716:35:36,,0,table_c
47098,29,28343,2022-02-17 16:35:06,2022-02-1716:35:25,,0,table_c
47100,29,28345,2022-02-17 16:35:10,2022-02-1716:35:59,,0,table_c
34529,29,21677,2022-02-21 16:48:26,2022-02-2116:48:41,,0,table_c
46935,29,28250,2022-02-22 19:57:52,2022-04-0609:17:35,,0,table_c
34530,29,21677,2022-02-22 19:58:02,2022-04-0113:22:46,,0,table_c
39014,29,24372,2022-03-03 19:07:15,2022-04-0113:22:26,,0,table_c
34954,29,21961,2022-03-07 16:38:23,2022-04-0615:19:05,,0,table_c
35380,29,22259,2022-03-08 15:04:23,2022-04-0113:22:35,,0,table_c
39013,29,24371,2022-03-15 17:05:32,2022-03-2220:18:15,,0,table_c
76518,36,43037,2020-01-12 16:15:30,2020-08-2418:53:41,,0,table_c
80671,36,45001,2020-01-12 16:15:37,2020-08-2418:54:01,,0,table_c
79590,36,44437,2020-01-12 16:15:41,2020-08-2418:54:24,2021-03-1814:46:53,0,table_c
89601,36,50337,2020-01-12 16:36:29,2020-08-2418:53:33,,0,table_c
91147,36,51237,2020-08-27 20:57:28,2020-10-2020:01:58,,0,table_c
6586,36,37114,2020-08-27 20:57:39,2020-10-2020:01:55,,0,table_d
76456,36,38064,2020-12-16 12:43:50,2020-12-2118:57:40,,0,table_d
79924,36,44603,2020-12-16 12:43:54,2021-01-2218:49:07,,0,table_c
76134,36,42870,2020-12-16 12:43:58,2021-01-2218:49:16,,0,table_c
81362,36,45339,2020-12-16 12:44:02,2021-01-2218:48:32,2024-06-1111:45:00,0,table_c
69676,36,39624,2020-12-21 18:55:48,2021-01-2218:50:05,2024-06-1111:44:48,0,table_c
79929,36,6297,2020-12-21 18:56:18,2021-01-2218:48:40,,0,table_d
79711,36,44505,2020-12-21 18:57:20,2021-01-2219:12:34,,0,table_c
76340,36,42962,2020-12-23 22:00:56,2021-01-2218:50:51,,0,table_c
80128,36,44718,2020-12-28 20:50:53,2020-12-2820:51:01,,0,table_c
75875,36,42746,2020-12-28 21:14:41,2021-01-2218:49:36,,0,table_c
75876,36,42747,2020-12-28 21:14:46,2021-01-2218:49:53,,0,table_c
79365,36,44322,2021-01-04 19:17:57,2021-01-1021:56:44,,0,table_c
79551,36,44414,2021-01-10 21:56:45,2021-01-1115:45:29,,0,table_c
79710,36,30649,2021-01-10 21:57:02,2021-01-1115:45:17,,0,table_d
79464,36,44369,2021-01-10 21:57:06,2021-01-1115:44:40,2024-06-1111:44:53,0,table_c
79552,36,44414,2021-01-22 19:11:41,2021-03-0917:01:48,,0,table_c
79712,36,44504,2021-03-09 17:05:19,2021-07-0120:07:56,,0,table_c
88090,36,49520,2021-07-01 20:09:53,2021-07-0120:10:25,,0,table_c
78411,36,43880,2021-07-01 20:10:04,2021-07-0120:10:17,,0,table_c
79713,36,44504,2021-07-05 18:54:31,2021-12-2321:25:06,2021-11-1015:51:10,2,table_c
97987,36,55093,2021-08-20 17:35:08,2022-01-0912:25:17,2021-11-1015:50:58,2,table_c
79854,36,44569,2021-09-02 09:42:18,2022-01-0912:25:07,2021-10-3009:58:53,2,table_c
79853,36,44570,2021-09-02 09:42:29,2022-01-0912:25:12,2021-10-3009:58:50,2,table_c
95605,36,24357,2021-10-18 18:36:43,2022-01-0912:25:14,2021-11-1015:51:01,1,table_d
95609,36,53653,2021-10-18 18:36:56,2022-01-0912:25:19,2021-11-1015:51:08,1,table_c
79926,36,44603,2021-10-25 18:10:30,2021-12-2321:25:24,2022-08-1419:09:49,0,table_c
79925,36,44604,2021-10-25 18:10:35,2021-12-2321:25:37,2022-05-1823:05:25,0,table_c
97986,36,55093,2022-01-09 12:25:36,2022-05-2010:16:19,,0,table_c
95607,36,53652,2022-01-09 12:25:55,2022-05-2010:16:29,,0,table_c
79849,36,44569,2022-01-09 12:26:01,2022-05-2010:17:37,,0,table_c
79850,36,44570,2022-01-09 12:26:09,2022-05-2010:38:28,,0,table_c
79708,36,44502,2022-01-09 12:42:34,2022-05-2010:38:40,,0,table_c
79816,36,44554,2022-01-09 12:42:42,2022-05-2010:16:09,,0,table_c
79851,36,44571,2022-01-09 12:42:50,2022-05-2010:16:55,,0,table_c
39042,36,24391,2022-05-06 20:46:36,2022-05-0620:46:53,,0,table_c
95608,36,53653,2022-05-20 10:39:25,2022-06-2214:35:42,,0,table_c
79852,36,24929,2022-05-20 10:39:31,2022-06-2214:36:10,,0,table_d
39043,36,45620,2022-05-20 10:43:34,2022-06-2214:36:01,,0,table_d
